id,fecha_aproximada,contenido,cantidad_respuestas_aprox,comentarios_usuarios,compartidos,enlace,reacciones,sentimiento_contenido,prob_POS_contenido,prob_NEG_contenido,prob_NEU_contenido,sentimiento_comentarios
1,2 h,"A partir de las 20 horas estoy en ABCTV, en ""Mesa"", canales 19 de TigoStar y 3 de Personal tv",0,Hyundai le $acó el lugar a Ueno bank pikó Enrique,,https://www.facebook.com/evargaspena/videos/603221798939321/?__cft__[0]=AZWKoM_-4Gt62qsSe2AFDJL6ZchPV54WpE5lAkfqrTDyY0ym9TmKBElYJcJcmAn7sCVc78SswkGm1upapAFIx1totjDvLnCQaKk_KcH7JwseFUwBioNaadf446rblHGYDHTDjeDbyWUPlhONKbi_lCVmyVtSrMvqHj51rHks8FmwE4OnUrxNX-I95Zz6tJpAMUdYmIAbVj8a02m4c9P8Zbq3&__tn__=%2CO%2CP-R,,NEU,0.15050607919692993,0.04011036828160286,0.8093835115432739,NEG
2,3 h,"Sólo vuelvo a recordarte que desde las 17 y hasta las 19 estamos siempre con @figuejuanma en la 98.5 ABC FM, sólo  éxitos. La foto es del ""archivo"" de ayer",0,"Si señor lo sigo, por más como usted don Enrique que nos pone la nota de análisis.",,https://www.facebook.com/evargaspena/posts/pfbid02hBaKMvnP85Z8hN52j2yepzuFi4bNrQcnrgdU4ksYBBfrzPg1LyFv1kWzG3Qpfpsul?__cft__[0]=AZUvZfpTwKbC8uaaHoeCf3Tj1yJfbon5Psn-lTdKie0aX-YtJ3lZBhiEnPkB73MbwRVvsNZmoBGZ0rd5MI5IEHV4ZkZUHRhnDRPonjCehwTvqvEzT8PBhx11wyc5LGyic5mFz9TNBcwTtObWN5eEyUrSyRW-Uc1gcKAReWUGrvYdRGuNyZkkS8wrO3wBp-9SpXVhKfHw0_LotSxV4No1vD98&__tn__=%2CO%2CP-R,,POS,0.6311618685722351,0.020773576572537422,0.3480645418167114,POS
3,3 h,"Los amigos de la autodenominada oposición ""democrática"" tienen que dejar de mentir aunque sea un día. Lo que han mentido sobre el Foro Madrid es simplemente superlativo, galáctico, desvergonzado. Satanizan sin aportar una sola prueba de nada. En serio creen que somos estúpidos",2,"Su trabajo es desprestigiar a la oposición,.para eso le pagan. Una verdadera vergüenza,.Un descarado. Nunca hablo mal de este gobierno, sus entrevistas son con Bachi, Derlis Maidana, ZI, etc., en fin; los cartistas",3 veces compartido,https://www.facebook.com/evargaspena/posts/pfbid02Qe4A3HgWUBB16BRZ1ZsNrpbg9Sjff3QMiGmUoVdjcTYfjxPjxJ6QTBQ6uNEnmHNNl?__cft__[0]=AZXQIfiISNXDfYB9g0cOe-iMqg3DyrEqEh9ba7tOMek7jhk-ObAiLCMzVPZeQ9HC4NpH0msi9-oyaeiqUf3gHI3pA0paATunD1cycAWtymGRNQRZ_lbLP-AaP4Y5IxFQybClKe2M50P3FfJv8buSce-PAbKNROWuiM0FbkpX5ASaFRVRPI1CYa5clOT7oxuiCPc&__tn__=%2CO%2CP-R,9.0,NEG,0.0036067923065274954,0.9752336740493774,0.021159591153264046,NEG
4,15 h,Horrorosas imágenes del Boeing 787 de Air India que se estrelló hace un rato,0,,x.com,https://www.facebook.com/evargaspena/posts/pfbid02eayVugeGjtJHs6Se1ahzjf1BnFWimSZoX35dB9XYeJ3bYDEVC9FcU63vUhNf5DDYl?__cft__[0]=AZU2TFpjaTW7-JDNno8lhfA2Ni7jGIilOaaDh_EftOvH3UmpLbCYZyWs3hXS2SSzs2cbr32FOTg527-5Qytpfq3OffnstAz-8k38_D_DIYHLY3hKk2jLRBaN1aIJm9llnB0BT4dG3ZFJX6_33DCu4BT0I0DcGuxUevJK7A__wcVQRjh7nSaN4i8j_Msp3VXbGprTPLlMnb4eFRx0D83DLnZ1&__tn__=%2CO%2CP-R,,NEG,0.006642431020736694,0.9448409676551819,0.04851653426885605,SIN_COMENTARIO
5,17 h,"Hola, hasta las 08:00 estoy en 7.30 AM ABC Cardinal, Paraguay. Deportes con Ariel Julian Marecos",0,,,https://www.facebook.com/evargaspena/videos/1069737511701250/?__cft__[0]=AZWzfSv_IRTWW32K-bABElm-y2D0Fmsgth0fWfLK8cI2lLGkl0DuogHgFbho4WtuPFqwhnNNHZ7PE_c3WF_4VXAQuDHdcK4kuavWulbs2pbq8wjXSBhfP3gz91_b9LY4xFYeDaEZOQVKlJ4NmrEbwYpE-5zBEB5JuD-rN3ueK8ka3wrAufmAd7gd0Nmdq0DFZr0iyLfIBHDqZu_5gcHusZSc&__tn__=%2CO%2CP-R,,NEU,0.21240070462226868,0.031092524528503418,0.7565068006515503,SIN_COMENTARIO
6,18 h,"Anoche, Sebastián Martínez, pte Junta @Muni_CDE, explicó cómo resistirá @MiguelPrietoCDE a intervención que atribuyó a persecusión política via @contraloriapy. Después, concejal @Alvaromgrau, @juntasuncion, explicó por qué actuación de @contraloriapy en capital es bienvenida",20,"Es un foro, no es una intromisión... Y para eso tenes la ley de financiamiento político, para demostrar tu acusación, mientras es solo lágrima de Zurdos!!",4 veces compartido,https://www.facebook.com/evargaspena/videos/1205493131257859/?__cft__[0]=AZUturbfJrmzdJouyBSOAdv8E5owKJn_MDvh7FqoQjwY--INqRFQeFeujUXwUNdeXIPUb37gKzfRvlKoa-hxglpXxAPfLCVmDhBv4XW0KvjcwsFRgltMhe4i6ZdexiNADyt9qFkjz2KZ-lvCAm9FuR7VwkZbxadwFsQY8QmIDhQa7JQul6ex4xRtvXpzd9Q-izbPbebFHYbhvg0thOXOQOeu&__tn__=%2CO%2CP-R,,NEU,0.13585831224918365,0.29719942808151245,0.5669423341751099,NEG
7,1 día,"A partir de las 20 horas estoy en ABCTV, en ""Mesa"", canales 19 de TigoStar y 3 de Personal tv",0,Los narco cartista sera tu amigo,2 veces compartido,https://www.facebook.com/evargaspena/videos/568644069632037/?__cft__[0]=AZXxlvA0iLT2VGnUiwp8OALBD3MwkpI5oY58xA-7lWQX59gGCUPk9EA8kR_IZdWB3j0cZ-_bwzpAhQqq1yVW1lx5mqJ8QT7TZ2bWke2-J1KQ8DbKDXqTbFmjFP6y9RJ7LxfaBb0GF8wvqafvR8TY2OeI_yf36OgUc5klqWGYZF4Wzkcw_p1XehulC9iLHadpM2fGRkA16-UhyZLXwV7CyjF8&__tn__=%2CO%2CP-R,,NEU,0.15050607919692993,0.04011036828160286,0.8093835115432739,NEU
8,1 día,"Desde las 17 y hasta las 19 seguimos con @figuejuanma en la 98.5 ABC FM, sólo  éxitos",0,No te gustan  las mujeres por eso le critica a todas las mujeres opositora al gobierno como katia.celeste. esperanza  Cecilia Pérez Yolanda paredes y otras pero si te gusta bachi trato apu a kale y otros,,https://www.facebook.com/evargaspena/posts/pfbid02RF16Y9CPYj9eob6Lnd5pmcQD2tM7y6HsBQRYb8Gc4QAKXqeNHqwzKU31wjfbwmfVl?__cft__[0]=AZWP7PXKSREQdpuGyEnnvzv3GmybSJyvlmigE4jj5sdkgzHiyaLv4ldhuWdqvv_yu-Yo-Ts0YtKQxd0r6pRzKlujYK3NG4IKlB8xS7QEJvT3T662afGFGb9f6DN_nYiJrXrP0uEK3_vPE0vHD2X2uz5SMdDR0ucwL4EsUcwp0gOkSVV5TVRM5Pu0NDy2J1FNmOSa8FeFvJJmMWJAxB7mMEKo&__tn__=%2CO%2CP-R,,POS,0.48317578434944153,0.039908383041620255,0.4769159257411957,NEG
9,1 día,El día después de la pérdida del invicto de Alfaro,0,Justo las elecciones coincidirian con el próximo combo de las ELIMINATORIAS,3 veces compartido,https://www.facebook.com/evargaspena/videos/1448881489897659/?__cft__[0]=AZWY4wdQje0oIWwlnf3_6GRX3LkCjhG0x70c4A_WsiADUHVpGWxyHX-lav6JkHy6INl0FWC4Np-pdSxcOIZmSnch_2YQElyooDpOE0THz3tVV3aPalXHx-MsI8bWJLRhRFlk0VcBbEC0KFEyn4AdW6bcFSALea3GkepvGllEZxS2uM_-QZNXHY2wGx66nJpjGxWkkVpK7TvKr_k-MYiMJ84v&__tn__=%2CO%2CP-R,,NEU,0.05872951075434685,0.30131930112838745,0.639951229095459,NEU
10,1 día,"Senador @BetoOvelarANR adelanta, en la 7.30 AM ABC Cardinal, Paraguay, que @PrensaHonor ya tomó su decisión sobre @nenechopy y que la misma se verá hoy en @DiputadosPy pero se negó a decir cuál será la posición. Explicó que fue difícil la decisión porque afecta a @Lizarela",0,Difícil hei . Ya tenían todo cocinado como moneda de cambio,,https://www.facebook.com/evargaspena/posts/pfbid0DjjJWJJgUkJ2aSFGMdJttiaVBmT2e8fi2hRAHD7tYz5km4FsdadUYeagAc389Vdsl?__cft__[0]=AZX4pf19U8QgLjUTIlbbV5hNjqeDfCEJr80Yek1TdChIIycyegbWZ7QF8eadTJJyyrt8Iu2u6xsVPdxi5TsA8eodXjDT6biMhu4Nj_dshGjNEGcntmLOqsbAVB8QRCK6jvHCoKn8MZSas0XR5liKopBIMOtdumgqDHweD0pveuuhdWtGkNthDF8-A3cC1NrTc0g&__tn__=%2CO%2CP-R,2.0,NEU,0.02513645775616169,0.4013107717037201,0.5735527276992798,NEU
